id,sex,ageM,trialOrd,frm,idtrialOrd,trialNum,pointLR,conf,faceAngRaw,faceAngMod,gazeAngRaw,gazeAngMod,pointLRConf
1,m,18,6,8,1_6,81,R,0.88,0.038,0.021755266,0.009,0.010231263,5
1,m,18,6,9,1_6,81,R,0.88,0.038,0.021751598,0.009,0.010231541,5
1,m,18,6,10,1_6,81,R,0.88,0.04,0.023725876,0.011,0.012233491,5
1,m,18,6,11,1_6,81,R,0.88,0.042,0.025701302,0.012,0.013235354,5
1,m,18,6,12,1_6,81,R,0.88,0.044,0.027497993,0.014,0.015087781,5
1,m,18,6,13,1_6,81,R,0.88,0.044,0.027407182,0.014,0.01501295,5
1,m,18,6,14,1_6,81,R,0.88,0.04,0.023416866,0.011,0.011932323,5
1,m,18,6,15,1_6,81,R,0.88,0.038,0.021417741,0.009,0.009852966,5
1,m,18,6,16,1_6,81,R,0.88,0.036,0.019464912,0.009,0.009850539,5
1,m,18,6,17,1_6,81,R,0.88,0.035,0.01841737,0.008,0.008774391,5
1,m,18,6,18,1_6,81,R,0.88,0.037,0.020398759,0.01,0.01077526,5
1,m,18,6,19,1_6,81,R,0.88,0.038,0.021328909,0.011,0.011778523,5
1,m,18,6,20,1_6,81,R,0.88,0.04,0.023248747,0.012,0.012703586,5
1,m,18,6,21,1_6,81,R,0.88,0.036,0.019206413,0.009,0.009627189,5
1,m,18,6,22,1_6,81,R,0.88,0.035,0.01817739,0.01,0.010628273,5
1,m,18,6,23,1_6,81,R,0.88,0.036,0.019153339,0.01,0.010629172,5
1,m,18,6,24,1_6,81,R,0.88,0.034,0.017023168,0.008,0.008555709,5
1,m,18,6,25,1_6,81,R,0.88,0.038,0.021020462,0.011,0.011634135,5
1,m,18,6,26,1_6,81,R,0.88,0.042,0.025091166,0.014,0.014710206,5
1,m,18,6,27,1_6,81,R,0.88,0.049,0.032484804,0.02,0.021008211,5
1,m,18,6,28,1_6,81,R,0.88,0.06,0.043883975,0.027,0.028465873,5
1,m,18,6,29,1_6,81,R,0.88,0.067,0.051385494,0.034,0.035999527,5
1,m,18,6,30,1_6,81,R,0.88,0.07,0.054358208,0.036,0.038003022,5
1,m,18,6,31,1_6,81,R,0.88,0.091,0.076246058,0.051,0.054011222,5
1,m,18,6,32,1_6,81,R,0.88,0.112,0.098224182,0.068,0.072109952,5
1,m,18,6,33,1_6,81,R,0.88,0.122,0.108613039,0.076,0.080597226,5
1,m,18,6,34,1_6,81,R,0.88,0.13,0.116601241,0.081,0.085706016,5
1,m,18,6,35,1_6,81,R,0.88,0.131,0.117591834,0.082,0.08670932,5
1,m,18,6,36,1_6,81,R,0.88,0.136,0.122914073,0.086,0.091017484,5
1,m,18,6,37,1_6,81,R,0.88,0.142,0.129156926,0.091,0.096247677,5
1,m,18,6,38,1_6,81,R,0.88,0.148,0.135474353,0.096,0.101556694,5
1,m,18,6,39,1_6,81,R,0.88,0.153,0.140882511,0.101,0.106936783,5
1,m,18,6,40,1_6,81,R,0.88,0.157,0.145006284,0.105,0.111108421,5
1,m,18,6,41,1_6,81,R,0.88,0.15,0.13860076,0.102,0.108625674,5
1,m,18,6,42,1_6,81,R,0.88,0.156,0.144264812,0.104,0.110328955,5
1,m,18,6,43,1_6,81,R,0.88,0.146,0.134454498,0.099,0.105465419,5
1,m,18,6,44,1_6,81,R,0.88,0.146,0.13363873,0.096,0.101708428,5
1,m,18,6,45,1_6,81,R,0.88,0.14,0.127053821,0.09,0.095179862,5
1,m,18,6,46,1_6,81,R,0.88,0.131,0.117409314,0.084,0.08856218,5
1,m,18,6,47,1_6,81,R,0.88,0.132,0.11832581,0.084,0.088485761,5
1,m,18,6,48,1_6,81,R,0.88,0.127,0.113004297,0.08,0.084175561,5
1,m,18,6,49,1_6,81,R,0.88,0.124,0.109691346,0.078,0.081862553,5
1,m,18,6,50,1_6,81,R,0.88,0.122,0.107461185,0.075,0.078626661,5
1,m,18,6,51,1_6,81,R,0.88,0.119,0.104226549,0.073,0.076391977,5
1,m,18,6,52,1_6,81,R,0.88,0.116,0.101027967,0.071,0.074244658,5
1,m,18,6,53,1_6,81,R,0.88,0.109,0.093559799,0.065,0.067773528,5
